yr_built,bedrooms,bathrooms,sqft_living,waterfront,view,condition,grade,price
1953,3,1.75,1250,0,0,4,7,450000
1953,3,2.5,2753,1,2,5,9,1.35E+06
1955,3,1,1190,0,0,3,7,228000
1966,5,2.5,3150,0,0,4,8,345000
1950,3,1.75,1410,0,0,4,7,600000
1981,2,1.75,1980,0,0,3,7,585000
1927,5,2.25,2730,0,0,3,8,920000
1995,4,2.5,2830,0,0,3,9,885000
2008,4,2.5,2250,0,0,3,7,292500
2003,3,2.5,2420,0,0,3,8,301000
1968,5,3.25,3250,0,4,4,8,951000
1991,4,3,1850,0,0,3,8,430000
1959,3,2.25,2150,0,3,4,8,650000
1954,3,1.75,1260,0,0,3,7,289000
1973,3,1.75,2519,0,0,5,8,505000
2014,3,1.75,1540,0,0,3,8,549000
1979,3,2.25,1660,0,0,3,7,425000
1925,3,2.75,2770,0,0,5,7,317625
1989,4,2.5,2720,0,0,3,10,975000
2005,4,2.5,2240,0,0,3,7,287000
1968,3,1,1000,0,0,4,7,204000
1965,5,2.25,3200,0,0,3,8,1.33E+06
1973,5,3.25,4770,0,0,4,11,1.04E+06
1972,3,2,1260,0,0,4,7,325000
1916,4,2,2750,0,0,5,7,571000
2005,4,2.5,2380,0,0,3,8,360000
1965,3,1.75,1790,0,0,5,7,349000
1986,4,4,3430,0,0,4,10,832500
1956,4,1.75,1760,0,0,3,7,380000
1941,3,1,1040,0,0,3,7,480000
1956,3,1,1410,0,0,4,7,410000
2002,4,2.5,3450,0,0,3,10,720000
2003,3,2.5,2350,0,0,3,8,390000
1992,4,2.5,1900,0,0,3,7,360000
1948,2,1,2020,0,0,3,7,355000
1964,3,1.5,1680,0,0,3,8,356000
1952,3,1,960,0,0,3,6,315000
1925,3,1.5,2140,0,0,3,9,940000
1961,5,2.25,2660,0,0,5,7,305000
2006,3,3.25,2770,0,0,3,9,461000
1979,2,2.25,1610,0,0,4,7,215000
2006,2,1.75,1030,0,0,3,7,335000
1988,4,2.5,1980,0,0,3,7,243500
2001,5,2.75,3520,0,0,4,10,1.10E+06
1962,3,1,1200,0,0,3,7,153000
1939,3,1.5,1580,0,0,3,8,430000
1939,3,1.5,1580,0,0,3,8,700000
1946,4,2.5,3300,0,0,3,7,905000
1967,3,1.75,1960,0,0,3,7,247500
1975,4,1.5,1160,0,0,4,7,199000
1980,3,1.75,1810,0,0,5,7,314000
1992,3,2.5,2320,0,2,3,9,437500
1910,3,2.5,2070,0,0,5,9,850830
1929,3,2,1980,0,0,4,7,555000
1983,3,2.25,2190,0,0,4,8,699950
1950,3,2.5,2920,0,0,3,8,1.09E+06
1954,3,1,1210,0,0,3,7,290000
1978,3,2.5,2340,0,0,4,8,375000
1939,3,1,1670,0,0,4,7,460000
1985,2,1.75,1240,0,0,4,8,188500
1991,4,2.5,3140,0,0,4,10,680000
1942,5,1.75,2030,0,0,4,7,470000
1984,4,2.5,2310,0,0,3,8,597750
1905,3,1.75,1260,0,0,5,6,570000
1980,3,1.75,1540,0,0,4,7,272500
1971,3,1.75,2080,0,2,3,7,329950
2001,4,2.5,3230,0,3,3,9,480000
1900,3,3.5,4380,0,0,3,8,740500
2010,3,3.5,1590,0,0,3,8,518500
1945,2,1,880,0,0,4,6,205425
1950,4,2,1570,0,0,3,6,171800
1925,4,1,1610,0,0,4,7,535000
1964,3,2.5,2400,0,2,3,8,660000
1987,3,2,1450,0,0,3,7,391500
1953,2,1,770,0,0,3,6,395000
1924,4,1.75,2100,0,0,5,7,445000
1990,3,2.25,2910,0,0,3,9,770000
1914,4,2.75,2750,0,0,3,8,1.45E+06
1967,3,2.25,2100,0,2,3,8,445000
1978,4,2.25,2160,0,0,3,8,260000
1926,5,3.5,2320,0,0,5,7,822500
2004,4,2.5,2070,0,0,3,7,430000
1986,3,1.75,1060,0,0,4,7,212000
1986,4,2.25,2010,0,0,3,8,660500
1989,3,3.5,3950,0,0,3,9,784000
2014,3,2.5,2010,0,0,3,8,453246
2005,4,3.5,2140,0,0,3,9,675000
1956,3,1.75,1320,0,0,4,7,199000
1968,4,1.75,2020,0,0,3,7,220000
1968,4,2.25,2590,0,0,4,8,452000
1981,2,1,1190,0,0,3,6,382500
2014,3,2.25,1170,0,0,3,8,519950
1925,2,1,1110,0,0,3,7,665000
1968,5,2.5,2820,0,0,4,8,527700
1962,3,1,1610,0,0,4,7,205000
1923,3,1,1060,0,0,4,7,420000
1961,4,2.25,2030,0,0,4,8,500000
1994,4,2.5,3670,0,0,4,9,921500
1905,4,1,2550,0,0,3,8,890000
2007,2,2.5,2420,0,0,3,7,430000
1960,5,2,2260,0,0,4,8,258000
1947,3,1,1430,0,0,3,7,511000
1990,3,2,1360,0,0,3,8,532170
1947,3,1,1110,0,0,3,7,560000
1954,3,1,1250,0,0,4,7,282950
2006,4,3.25,5180,0,3,3,12,2.25E+06
1942,1,1,700,0,0,3,7,350000
1967,3,1,1180,0,0,4,7,215000
1996,5,3.5,3960,0,0,3,9,650000
1967,4,2.75,2640,0,0,3,8,320000
1916,3,2,1270,0,0,3,7,247000
1968,4,1.75,1760,0,0,4,8,320000
1962,5,2.25,2060,0,0,3,7,255000
1962,3,1.75,1780,0,0,3,7,438000
2000,3,2.5,3400,0,0,3,10,900000
1979,3,2.75,1910,0,0,3,7,441000
1975,3,2,2020,0,0,4,7,420000
1976,3,1.75,1580,0,0,3,7,370000
1949,2,1.75,1340,0,0,5,5,269950
1999,4,2.5,2680,0,0,3,9,807100
1979,3,2.5,2680,0,0,4,8,653000
1964,3,2,1370,0,0,5,7,371500
1954,3,1.75,1560,0,0,3,7,284000
1978,3,1.75,2160,0,0,4,7,272000
1955,3,1.5,1340,0,0,3,7,313000
1984,4,2.5,3880,0,0,3,10,917500
1980,4,2.25,2590,0,0,4,8,673000
2008,3,2.5,1120,0,0,3,8,425000
1986,5,2.75,1970,0,0,3,7,399950
1901,3,1,1220,0,0,3,6,385000
1975,3,1.5,1950,0,2,4,7,269950
1949,2,1,1350,0,0,3,7,330000
1988,3,2.5,1670,0,0,3,7,260000
1925,4,3,2380,0,0,4,7,470000
1961,4,3,2440,0,0,5,7,589000
1996,2,1.5,1050,0,0,3,7,163500
1993,4,2.75,3130,0,0,3,9,835000
1986,5,3,4090,0,2,4,10,1.10E+06
1969,4,1.75,1490,0,0,4,8,269000
1987,3,2.5,1900,0,0,3,8,560000
1901,4,1,1330,0,0,4,6,615000
1975,3,2.25,2230,0,0,3,8,585188
1977,3,1.75,1650,0,0,3,7,305000
1959,3,1,1190,0,0,3,6,166950
1959,3,2.5,2140,0,0,4,8,799000
1962,3,2.5,2180,0,0,4,7,400000
1948,3,1,1060,0,0,3,7,230000
2003,3,2.5,1690,0,0,3,8,256883
1920,4,2,1970,0,0,5,7,423000
2007,3,2.5,2150,0,0,3,8,465000
1997,3,2.5,1910,0,0,3,7,440000
1969,3,1.75,1350,0,0,4,7,385000
1943,3,1,860,0,0,4,6,210000
1994,3,2.5,1940,0,0,3,8,297000
1952,3,1,1010,0,0,3,7,470000
1976,3,1.5,1300,0,0,4,7,226500
1962,3,1,910,0,0,4,6,274250
1966,4,1.75,2480,0,0,4,9,840000
2010,3,2.5,2440,0,0,3,8,677900
1915,3,1,1010,0,0,3,7,425000
1941,2,0.75,900,0,0,3,6,180250
1920,6,3,2300,0,0,3,7,464000
1993,4,2.25,1550,0,0,3,8,320000
2014,3,2.25,1270,0,0,3,8,625504
1983,4,2.5,2240,0,0,3,9,592500
2005,3,2.5,2714,0,0,3,9,465000
1978,4,2.75,1720,0,0,3,8,477000
1923,2,1,850,0,0,3,6,280000
1957,5,3,3300,0,3,3,9,1.51E+06
2000,3,2.5,2250,0,0,3,8,445838
1947,2,2.25,3900,0,3,3,8,1.07E+06
1947,2,1.5,1320,0,0,4,8,467000
1999,4,2.5,2760,0,0,3,10,686000
1961,3,2,1750,0,0,3,7,279950
1987,4,2.25,2330,0,0,3,8,527000
1966,3,2.25,2220,0,0,4,8,325000
1994,3,2.25,2020,0,0,3,7,328000
1942,3,2.25,1250,0,0,5,7,390000
2005,2,2,1510,0,0,3,8,479950
1978,4,2.25,1720,0,0,4,7,264950
1961,3,1,1430,0,0,4,7,235000
2004,3,2.5,1480,0,0,3,7,516500
1915,2,1.75,1450,1,4,3,7,655000
1960,4,2.75,2280,0,0,5,7,500000
1978,6,2.75,2940,0,0,3,8,315000
1961,2,1,1000,0,0,3,6,213000
1947,3,1.5,2480,0,0,5,7,475000
1983,5,4,3760,0,0,3,10,1.03E+06
1976,3,2,2220,0,0,5,7,416000
1904,4,1,1970,0,0,3,7,410000
1993,3,3.5,3830,0,0,3,10,800000
1965,6,2.5,4410,0,2,4,9,472000
1968,3,1.75,1430,0,0,4,7,225000
1940,2,1,830,0,0,3,6,210000
1925,2,1,1430,0,0,2,7,455000
1954,3,1,1300,0,0,4,6,225000
1918,2,1,1030,0,2,4,7,480000
1990,3,2.5,2740,0,0,3,9,363000
2000,4,2.5,3650,1,4,3,9,2.40E+06
1954,2,1.5,720,0,0,3,6,181000
1976,4,2,2010,0,0,4,7,250000
1918,3,1.75,1560,0,0,4,6,481000
1978,3,2,1810,0,0,4,7,260000
2001,4,2.5,3360,0,0,3,9,455000
1991,3,2.25,1510,0,0,3,8,415000
1953,3,1,1400,0,0,3,7,349500
1987,3,2.5,1730,0,0,3,7,245000
1928,2,2,1420,0,2,5,7,592500
1955,4,1.75,2360,0,0,4,7,385000
1974,3,1.75,1580,0,0,4,7,315000
1979,3,1,1230,0,0,3,7,255000
2006,4,2.5,2460,0,0,3,8,693000
1911,3,1,1660,0,0,3,8,780000
1960,3,1.75,1270,0,0,4,7,237000
1979,3,2.25,2100,0,0,3,10,525000
1930,2,1,770,0,0,3,5,425000
1936,1,0.75,760,1,4,5,5,369900
1988,4,2.5,1700,0,0,4,7,290000
1954,3,1,1120,0,0,3,7,285000
1937,2,1,1070,0,0,3,7,415000
1979,3,2.5,2070,0,0,3,8,272500
1982,4,3.25,5050,0,2,3,11,2.90E+06
1989,4,4.75,5310,0,0,4,11,1.37E+06
1939,2,1,1040,0,0,4,7,436000
1967,3,1,1700,0,0,4,7,210000
1961,3,1,1300,0,0,3,7,236000
1954,3,1.75,1080,0,0,3,7,331000
2006,3,2.5,2653,0,0,3,8,365000
1960,3,2,2290,0,0,5,8,450000
2014,4,2.75,3820,0,0,3,9,770000
1997,4,2.5,2210,0,0,3,8,455000
1908,3,1.75,2390,0,0,3,6,405000
1969,4,1.75,2600,0,0,4,7,304900
1931,2,1,860,0,0,3,6,170000
1905,5,3,3830,0,1,5,9,2.05E+06
2005,4,2.5,3500,0,0,3,9,780000
1988,3,3,2420,0,0,4,8,330000
1992,4,2.5,2720,0,0,3,9,370000
1979,5,2.25,2500,0,0,3,7,467000
1980,3,1.75,1670,0,0,3,7,405000
1985,5,2.25,2900,0,0,3,8,675000
1954,2,1,1640,0,0,4,7,500000
1968,4,2.5,1890,0,0,4,7,389999
1975,4,1.75,2950,0,2,4,8,630000
1992,4,2.5,2160,0,0,3,9,360000
1986,4,3,3280,0,0,3,8,580000
1929,3,2,1970,0,3,5,8,550000
1994,4,2.5,3360,0,0,3,10,879000
1993,3,2,1320,0,0,3,7,265000
1990,3,2.5,2650,0,0,3,8,446500
1963,3,1.5,2030,0,0,3,7,404000
1957,3,1.75,1590,0,2,3,7,267500
2002,4,5,4550,1,4,3,10,3.08E+06
1998,3,2.5,2440,0,0,3,8,335000
1948,3,2.5,1940,0,0,4,7,576000
2006,3,2.5,2040,0,0,3,8,208633
1964,3,2.25,2200,0,0,4,7,315000
1913,3,1.75,1920,0,0,4,8,725000
1965,4,2.75,1800,0,0,4,8,550000
1984,4,2.25,2180,0,0,3,8,610750
1908,2,1,1010,0,0,4,6,550700
1960,4,2.75,3320,0,0,5,8,665000
1928,4,2.5,2370,0,2,5,8,834000
1915,5,1.75,1660,0,0,3,6,201000
1921,5,2.5,3650,0,4,5,10,2.38E+06
1997,4,3.25,4290,0,3,3,11,1.38E+06
1997,4,3.25,4290,0,3,3,11,1.40E+06
1979,4,2.25,1950,0,0,3,8,305000
1948,3,2,2590,0,0,5,8,487000
1988,3,2.5,1930,0,0,4,8,390000
1916,2,1,1470,0,0,4,7,548000
1943,4,1,800,0,0,3,6,268750
2013,5,2.75,3150,0,0,3,9,819900
1984,3,2.25,2030,0,0,3,8,520000
2003,3,2,1450,0,0,3,7,230000
1969,3,1.75,1510,0,0,3,7,240000
1922,2,1,1240,0,0,3,6,232000
1922,2,1,1240,0,0,3,6,240500
1987,3,2.5,3030,0,0,3,9,274975
1922,4,2,2050,0,0,4,9,740000
1952,3,1,1000,0,0,2,7,186375
1977,3,2.25,2370,0,0,4,9,790000
1951,4,3.5,2800,0,0,3,9,880000
1955,6,1.75,2240,0,0,4,7,279000
1991,3,2,1810,0,2,3,8,295000
1924,2,1,1070,0,0,3,7,640000
1968,4,2,2490,0,0,5,9,940000
2003,4,2.5,1960,0,0,3,7,260000
2004,3,2.75,2930,0,0,3,9,559900
1911,4,2,1510,0,0,5,7,791500
1954,3,1.75,1420,0,0,3,7,265000
1954,3,1.75,1740,0,0,3,7,245000
1962,4,1.75,2560,0,0,4,7,485000
2010,4,3.5,3040,0,0,3,9,684000
1957,3,1.75,2500,0,0,3,8,425000
1991,4,1.75,1275,0,0,4,6,309600
2002,4,2.5,2580,0,0,3,8,552250
1943,4,1,1000,0,0,3,6,165000
1943,4,1,1000,0,0,3,6,239900
1930,2,1,1070,0,0,4,6,320000
1987,3,2,1390,0,0,4,7,206600
1973,4,1.75,2500,0,0,3,7,387000
1967,1,0.75,560,0,0,3,4,299000
1965,4,2.75,2270,0,0,3,9,855000
1954,3,1,1900,0,0,4,7,315000
1907,2,1,990,0,2,5,7,437500
1969,4,1.5,1550,0,0,4,7,252000
1955,4,1.75,2200,0,0,5,7,375000
2005,4,2.5,1910,0,0,3,7,300000
1954,4,1,1750,0,0,4,7,420000
1928,3,1,1330,0,0,3,7,900000
2000,3,2.5,2440,0,2,3,9,679900
1992,3,2.5,1640,0,0,3,7,463000
1978,5,2.5,2760,0,0,4,9,380000
1994,4,2.5,1820,0,0,3,7,329500
2013,3,2.5,2110,0,0,3,8,604950
1966,5,2.5,3040,0,2,4,8,795000
1994,3,2,1840,0,0,3,7,465000
2002,4,2.5,2990,0,0,3,9,673000
1991,4,2.5,3520,0,0,3,10,810000
1989,4,2.75,2440,0,0,4,8,785000
1986,4,3,2090,0,0,3,7,338000
1993,3,2.25,1430,0,0,3,7,280000
1954,4,2.25,2180,0,0,5,7,315000
1954,4,2.25,2180,0,0,5,7,530000
2004,5,3,3450,0,0,3,9,380000
1994,3,2.25,1450,0,0,3,7,297000
2004,4,2.5,3230,0,0,3,10,730000
1940,3,1.75,1640,0,0,3,7,450000
1997,3,3,1590,0,0,3,7,275000
1960,4,2,2020,0,0,3,7,595000
1904,3,1.5,1300,0,0,3,7,435000
1954,2,1.5,1380,0,0,1,6,270000
1986,3,3,4040,0,0,3,10,950000
2001,4,2.25,2130,0,0,3,7,389000
1968,4,2.25,2550,0,0,3,8,560000
1998,5,3.5,4800,0,2,3,11,1.35E+06
1969,4,2.25,2510,0,0,4,8,799000
1983,3,2,1410,0,0,4,7,365500
1979,3,2,1650,0,0,3,7,252350
1993,4,2.5,2120,0,0,3,8,403950
1954,4,1.5,2040,0,0,3,7,385000
1957,4,1,1550,0,0,3,7,345000
1979,3,2.75,1980,0,0,4,9,490000
2005,3,2.5,1600,0,0,3,8,330000
1953,4,2.75,3300,0,0,3,8,927000
1983,4,2.5,3840,0,1,4,10,1.12E+06
1950,2,1,1220,0,0,5,7,330000
1958,5,2.25,2720,0,0,4,7,530000
1962,4,2,1940,0,0,1,8,365000
1909,3,2.5,2160,0,0,3,7,378750
1968,4,1.75,1530,0,0,4,7,269900
2008,3,3.5,1710,0,0,3,8,557000
1974,4,1.75,3730,0,0,4,7,360000
1937,2,1,940,0,0,4,7,352000
1994,3,2.5,1750,0,0,3,8,437000
1994,4,2.5,1820,0,0,3,7,322500
2001,3,3.25,1510,0,0,3,9,650000
2001,3,2,1290,0,0,3,8,450000
1998,3,2,1570,0,0,3,7,278500
1995,4,2.5,1930,0,0,3,8,364950
1986,4,3.5,2840,0,4,4,10,840000
1991,3,2.5,1550,0,0,3,7,268000
2006,2,1,833,0,0,3,5,517534
1978,3,2.5,2990,0,0,4,8,632925
1995,3,2.5,2000,0,0,3,9,577500
1920,4,1.5,2390,0,2,3,7,339000
1967,3,1.75,2910,0,0,4,7,570000
1964,4,1.75,2085,0,0,3,7,563500
1962,4,2.25,2200,0,0,5,7,423000
2012,3,2.25,1860,0,0,3,8,355000
1999,5,4.25,6070,0,0,3,12,1.55E+06
1941,2,1,950,0,0,3,7,482000
1955,3,1.75,1600,0,0,5,7,625000
1988,3,2.5,2250,0,0,3,8,538000
1985,3,2.5,2280,0,0,4,8,380000
1909,2,1,940,0,0,3,7,375000
1996,3,2.5,1530,0,0,5,7,245000
1947,5,1.75,2190,0,0,4,7,310000
1976,3,2,2350,0,0,4,8,1.30E+06
1971,4,2,1440,0,0,3,7,397000
2005,3,2.5,2200,0,0,3,8,365000
1990,4,3,2290,0,0,3,9,328500
1987,4,3,4040,0,0,3,11,988000
1922,4,2.5,2610,0,0,5,8,1.00E+06
2005,3,2.5,1490,0,0,3,7,237000
2003,4,2.5,2450,0,0,3,8,525000
1976,4,2.5,1710,0,0,3,9,749000
1983,5,2.5,4870,0,0,3,10,722500
1991,3,2.5,3130,0,0,3,10,843000
2000,2,2,1270,0,0,3,8,438000
1977,3,1.75,2120,0,2,3,8,578000
1954,3,1.5,1670,0,0,5,7,227950
1974,3,2.25,2070,0,0,3,7,196000
1953,2,1,1420,0,0,3,8,641000
1980,3,1.5,1250,0,0,4,6,350000
1960,3,1,940,0,0,4,7,205000
1968,3,1.75,1920,0,0,3,7,400000
2005,3,2.5,3545,0,0,3,10,1.03E+06
1972,3,2,1260,0,0,3,7,505000
1975,5,2.5,2340,0,0,3,7,475000
1977,3,2.25,2590,0,0,5,8,520000
1977,3,4.5,3970,0,2,3,10,1.45E+06
1965,3,1.75,1220,0,0,3,7,333500
1976,3,1,1400,0,0,4,6,232000
1983,3,2.75,2360,0,0,4,8,691100
1960,3,1.75,1870,0,0,4,8,811000
2001,3,2.5,2830,0,0,3,9,551000
1994,3,2.5,2260,0,0,3,8,496500
1980,3,3,1970,1,3,4,9,705000
1966,4,2.5,3140,0,2,5,9,578000
1986,3,1.75,1240,0,0,5,7,255000
2007,4,3.5,3450,0,0,3,10,1.05E+06
1989,3,2.25,2570,0,0,4,8,348000
1985,3,2,1510,0,0,3,7,230000
1988,4,2.25,2390,0,0,3,9,359500
1953,3,1,980,0,0,3,6,330000
1912,1,0.75,430,0,0,2,4,80000
1954,3,1.75,1480,0,0,3,7,465000
1997,4,2.5,1850,0,0,3,8,325000
1947,3,2,2270,0,0,4,7,340500
1993,3,2.5,1810,0,0,3,8,342500
1930,2,2,1610,0,0,3,6,290900
2000,3,4.25,3840,0,0,3,10,868700
1928,4,2.75,4110,0,1,3,9,1.20E+06
2000,4,3.25,4190,0,0,3,11,1.15E+06
2011,4,2.75,3390,0,0,3,9,859900
2003,4,2.25,1890,0,0,3,7,520000
2005,3,2.5,1610,0,2,3,9,460000
1949,3,1.5,1050,0,0,3,7,438924
1918,2,1,630,0,0,3,5,315000
1975,4,2.75,2910,0,2,3,8,590000
1955,4,1.75,1700,0,0,3,7,378500
1990,3,2.5,1950,0,0,4,9,328500
1973,3,3,2990,0,0,4,8,849950
1950,3,1.5,1350,0,2,3,7,525000
1993,4,3.25,4860,0,0,3,9,1.39E+06
1978,4,2.5,2160,0,0,4,8,295000
1998,6,3.5,4860,0,0,3,11,1.07E+06
1917,2,2,890,0,0,3,6,207950
2002,4,2.75,2810,0,0,3,9,699900
1977,5,2.5,3400,0,1,4,8,1.28E+06
1963,4,1.5,1580,0,0,4,7,452000
1987,3,2,1680,0,1,4,7,370000
1968,3,1.75,1300,0,0,5,7,232000
1960,5,2.5,2820,0,0,4,7,669950
1972,3,2,1510,0,0,3,7,397500
2004,2,2.5,1230,0,0,3,8,490000
1925,4,2,2110,0,0,3,9,725000
1958,3,2.75,3080,0,2,4,7,299000
1900,2,1.5,1490,0,0,4,7,625000
2000,3,2.5,2120,0,0,3,7,437500
2003,4,2.5,3180,0,0,3,9,650000
1929,2,1,1490,0,0,3,7,475000
1966,3,2,1930,0,0,4,8,342000
1999,4,2.5,2770,0,0,3,10,1.20E+06
1963,3,1.5,1670,0,0,4,7,280000
1993,2,1.75,1330,0,0,3,7,240000
1924,3,1,1210,0,0,4,7,529000
1941,3,1,1190,0,0,4,7,442000
1946,2,1,1540,0,0,4,7,615000
2006,4,3.75,4030,0,0,3,10,1.49E+06
1981,4,1.75,2430,0,0,4,8,585000
2005,4,2.5,2600,0,0,3,8,480000
1990,5,3.5,4410,0,0,4,9,1.10E+06
1949,4,1,1330,0,0,3,7,290000
1951,3,1.75,1900,0,0,5,7,615000
1950,2,1,1100,0,0,4,7,300000
1932,3,1,1980,0,0,3,6,308000
2001,3,2.5,2400,0,0,3,9,750000
1916,4,2.25,4760,0,0,5,9,2.25E+06
2005,4,3.25,3180,0,0,3,10,890000
1958,3,1,1190,0,0,5,6,288000
1943,2,1,630,0,0,3,6,190000
2005,5,3,2530,0,0,3,8,515000
1930,4,1.5,1690,0,0,4,5,235000
1951,2,1,940,0,0,3,6,275000
1952,2,2,1240,0,0,4,7,727500
2003,4,2.5,3040,0,0,3,7,650000
2001,6,5,6050,0,3,3,11,1.60E+06
1944,4,1,1590,0,0,3,6,365000
1984,3,1.75,2500,0,0,3,9,662000
1978,3,2.5,1780,0,0,3,7,270500
1978,2,1.5,1360,0,0,3,7,200000
1987,4,3.25,4740,0,0,3,10,970000
1962,3,1.5,1010,0,0,4,7,160000
1971,3,1,1040,0,0,4,6,204000
1985,3,2.25,1610,0,0,4,7,358000
1979,4,1.75,1570,0,0,3,7,452000
1900,2,2,1510,0,0,4,7,595000
1994,3,2,1360,0,0,3,7,249000
1999,4,2.5,1970,0,0,3,8,346900
1976,3,2.5,5403,1,4,4,12,2.13E+06
2003,4,2.5,1560,0,0,3,7,280000
1973,4,1.75,2320,0,0,4,8,318888
1967,3,2.25,2120,0,0,3,8,530000
1983,3,2.25,2120,0,0,4,8,375000
1988,4,2.5,3350,0,0,3,11,910000
1991,4,2.5,2380,0,0,4,10,782000
2008,2,2,1070,0,0,3,9,259950
1979,4,2.75,2300,0,0,4,7,315000
1943,2,1,1320,0,0,4,6,215000
1946,3,1.75,2180,0,2,4,7,705000
1952,3,3,4380,0,3,5,10,1.45E+06
1949,3,1.75,1790,0,0,3,7,451000
1943,2,1,750,0,0,4,6,261000
1956,3,1.5,1300,0,0,5,7,396000
1999,4,2.5,2990,0,3,3,9,725000
1965,7,3.5,4640,0,1,3,11,1.95E+06
1959,4,1,1400,0,0,3,7,238000
1973,6,1.75,2750,0,0,4,8,750000
1998,4,2.5,2050,0,0,3,7,331500
1978,4,3,2230,0,0,3,7,460000
1982,4,2.25,2340,0,0,4,8,404950
2014,3,2.5,2870,0,0,3,9,880000
1997,4,2.5,4120,0,0,3,10,863000
1960,3,1.75,2080,0,0,3,7,638700
2008,3,2.5,1840,0,0,3,7,435000
1959,3,1,1180,0,0,4,6,260000
1927,5,2.75,2160,0,0,5,7,671500
1907,3,1,1180,0,0,3,8,610000
1937,2,0.75,1160,0,0,4,6,405000
2003,4,2.5,1830,0,0,3,7,338900
2004,4,4,3200,0,0,3,10,720000
1927,5,3,2560,0,0,4,7,442000
1902,5,2.75,2550,0,0,5,8,650000
1981,3,1.75,1330,0,0,3,7,263500
1963,2,1,1220,0,0,4,7,300000
2009,3,2.5,1805,0,0,3,7,266000
2009,4,4,6050,0,2,3,9,930000
2004,4,2.5,2320,0,0,3,8,530000
1965,3,1,1384,0,0,4,6,180000
2005,3,2.5,2720,0,0,3,9,619000
1962,3,1.5,1820,0,0,4,7,264000
1941,2,2.25,2130,0,4,4,7,730000
1975,4,2.25,2060,0,0,3,7,439000
1981,4,1.75,1420,0,0,4,7,268500
1985,3,1.75,1510,0,0,3,7,330000
1903,3,2.5,2160,0,0,3,8,640000
1978,3,2.5,3180,0,0,4,11,900000
1985,3,2.25,2110,0,0,4,8,370000
1931,3,2,2060,0,0,5,8,685000
1981,3,1.5,1830,0,0,3,7,505000
1966,3,1.75,1820,0,0,4,7,265000
2006,3,2.5,1610,0,0,3,8,290000
2006,4,2.5,1780,0,0,3,7,296000
1996,4,2.5,1840,0,0,3,7,360000
1997,3,1.75,1460,0,0,3,7,240500
2007,2,2.5,1400,0,0,3,8,372500
2004,3,2.5,3370,0,2,3,9,595000
1997,4,3,3590,0,0,3,9,515000
1962,4,2.25,3200,0,0,4,9,1.22E+06
2004,2,1.75,1670,0,0,3,8,507000
1984,4,2,2420,0,0,3,9,399950
1994,3,1.75,1430,0,0,3,7,185000
1980,3,1.75,1440,0,0,3,7,460000
1985,3,2.25,1450,0,0,3,7,435500
1966,4,2.75,3550,0,0,5,8,469000
2000,2,3,1270,0,0,3,8,531000
1949,2,1,940,0,0,3,7,443500
1990,3,2,1670,0,0,3,7,223000
1996,4,3.5,3100,0,0,3,8,590000
1997,2,2.5,1100,0,0,3,7,340000
1925,3,2,1870,0,0,4,8,650000
1990,3,2.5,1930,0,0,4,8,533600
2005,3,2.75,2540,0,0,3,9,695000
1988,3,1.75,1280,0,0,4,7,242000
1967,3,2.25,1820,0,0,3,7,425000
